Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice|Koffman, Andrew D.|0. out of print GPO|06-10-99|paper cover / stitch|paper||NIST Technical Note 1428. By Andrew D. Koffman, et al. Describes HELP, an optimization tool designed specifically to meet the requirements of test and measurement engineers. Item 0249-A.|||0-16-056988-5||NIST Technical Note 1428, Weights and Measures, High Dimensional Empirical Linear Prediction Tool Box, HELP Tool Box||NB1272|6.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Electricity Division|discount||3/21/2001|003-003-03606-4|900|C 13.46:1428|High-Dimensional Empirical Linear Prediction (HELP) Toolbox: Users' Guide, Version 2.2|each||0.43|1999: 55 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|04-09-93|perfect binding|paper||Prepared in cooperation with Federal Express Corporation. Provides up-to-date information on business practices in the countries of North and South America, Europe, Asia and the Pacific Rim, the Middle East, and Sub-Saharan Africa. Covers: business organi|||0-16-042256-6||Business, Foreign Investments, Exports, Imports||NB1235|32.00||Commerce Dept.|discount||5/12/2004|003-009-00622-8|004SE 123KB 284KI 28|C 1.2:B 96/9|International Business Practices|each||1.87|1993: 303 p.|
cstudy||||||govtprintingoffice|Curtis, Glenn E.|Available at Claitors|05-22-95|casebound|cloth||DA PAM 550-111. Area Handbook Series. 1st edition, 1st printing. Edited by Glenn E. Curtis. Prepared by Library of Congress, Federal Research Division. Research completed March 1994. Describes and analyzes the history, politics, economics, sociology, and|||0-16-061177-6||Army Department Pamphlet 550 111, Armenia, Azerbaijan, Georgia, Country Study, Country Studies, Area Handbook Series||Also advertized as: Armenia, Azerbaijan, and Georgia, A Country Study. DSL 95-9037-P 05/23/95. NB1248|43.00||Defense Dept., Army|discount|ZCS|02-21-06|008-020-01362-5|166LC 279AL 289DG||Armenia, Azerbaijan, and Georgia: Country Studies|each||1.62|1995: 354 p.; ill.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|12-14-06|perfect binding|paper||CMH Pub. 100-8. Armerican Forces in Action Series. Reprint of a book originally published in the 1940 as part of a series designed exclusively for wounded soldiers in hospitals to tell them the story of the campaigns and battles in which they had served.|||0-16-001999-0||Center of Military History Publication 100 8, Italy, Army History, Military History, World War 2, Volturno River, Armeican Forces in Action Series, World War 2, 50th Anniversary Commemorative Edition||DSL 90-0418-P 07/09/90. BIP. NB1219|8.00||Defense Dept., Army, Center of Military History|discount||06-29-10|008-029-00197-7|070JP|D 114.9:V 88|From the Volturno to the Winter Line, 6 Oct. -15 Nov. 1943|each||0.68|1945: 129 p.; ill., map. 1990-repr.|
||||||govtprintingoffice|Harris, Louis S.|0. out of print GPO|05-18-00|perfect binding|paper||DHHS Publication NIH 00-4737. NIDA Research Monograph 180. Edited by Louis S. Harris. Based on papers or presentations from the 61st Annual Scientific Meeting of the College on Problems of Drug Dependence, held in Acapulco, Mexico, June 12-17, 1999.|||0-16-050342-6||HHS Publication NIH 00 4737, NIDA Research Monograph 180, Proceedings of the 61st Annual Scientific Meeting, the College on Problems of Drug Dependence, Drug Abuse, Narcotic Addiction, Drugs||NB1278|52.00||Health and Human Services Dept., National Institutes of Health, National Institute on Drug Abuse|discount||10/7/2002|017-024-01655-1|118MH 119LB 163JL||Problems of Drug Dependence 1999: Proceedings of the 61st Annual Scientific Meeting, The College on Problems of Drug Dependence, Inc.|each||2.87|2000: 484 p.|
||||||govtprintingoffice||0. superseded|08-17-00|self cover / stitch|paper|021-050-00108-0|SB-050. Subject Bibliography 050. August 1, 2000. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 55|||||||Supersedes GP 3.22/2:050/999, S/N 021-050-00906- 4. Superseded by GP 3.22/2:050/001, S/N 021-050- 00108-0.|0.00||Government Printing Office, Superintendent of Documents|||9/4/2001|021-050-00008-3|925||Water Management|each||2.00|2000: 6 p.|
||||||govtprintingoffice||0. out of print GPO|04-06-95|casebound|cloth||Spine title reads: Administrative Decisions Under Employer Sanctions and Unfair Immigration-Related Employment Practices Laws of the United States, Reference No. 1 to Reference No. 300. Presents decisions which have been selected and designated as precede|||0-16-045403-4||OCAHO, Employer Sanctions and Unfair Immigration Related Employment Practices Laws, Unfair Immigration Related Employment Practices Laws, Immigration Related Employment Practices Laws, Immigration Law, Immigration Policy, Administrative Law Judge Decision||NB1247|72.00||Justice Dept., Attorney General, Executive Office for Immigration Review, Office of the Chief Administrative Hearing Officer|discount||9/26/2003|027-002-00438-8|900|J 1.103:1|Administrative Decisions Under Employer Sanctions & Unfair Immigration-Related Employment Practices Laws, V. 1|each||4.75|1995: 2051 p.|
||||||govtprintingoffice||0. out of print GPO|02-25-97|paper cover / stitch|paper||DHHS Publication HCFA 02195. Discusses selected topics about Medicare coverage including: Medicare and group health plans; group health plan choices; Medicare and Workers' Compensation; Medicare and black Lung; Medicare and veterans benefits; CHAMPUS and|||0-16-048887-7||HHS Publication HCFA 02195, Medicare, Health Benefits, Health Insurance, Who Pays First, Aged, Veterans Benefits, Champus, Black Lung||NB1259|2.00||Health and Human Services Dept., Health Care Financing Administration|discount||7/9/2002|017-060-00597-1|900|HE 22.2:M 46/38/996|Medicare and Other Health Benefits: Who Pays First?|each||0.06|1997: 22 p.|
||||||govtprintingoffice|Renard, K. G.|0. out of print GPO|03-26-97|casebound|cloth||Agriculture Handbook No. 703. K. G. Renard, et al., Coordinators. Update of Agriculture Handbook No. 537. Presents procedures for soil-loss prediction. Combines research information from many sources to develop design data for each conservation plan. Prov|||0-16-060813-9||Agriculture Handbook No. 703, Soil Erosion, Water, Revised Universal Soil Loss Equation, RUSLE, Soil Conservation, Guide to Conservation Planning||NB1259|57.00||Agriculture Dept., Agricultural Research Service|discount||12/14/2004|001-000-04636-5|088JC||Predicting Soil Erosion by Water: A Guide to Conservation Planning With the Revised Universal Soil Loss Equation (RUSLE)|each||3.50|1997: 404 p.; ill.|
||||||govtprintingoffice|Abbott, Gerald|0. out of print GPO|04-03-98|perfect binding|paper||Presents assessments of 18 industry sectors by senior military and civilian students of the Industrial College of the Armed Forces. The curriculum of the college emphasizes study and research of the resources component of national power. Special emphasis|||0-16-061211-X||Industrial College of the Armed Forces Study, Logistics, Industry, Research, Materiel Acquisition, Joint Logistics||NB1265|24.00||Defense Dept., National Defense University, Industrial College of the Armed Forces|discount||8/18/2003|008-020-01442-7|129JL|D 5.402:IN 2/6/997|In Touch With Industry: ICAF Industry Studies 1997|each||1.50|1998: 428 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|05-23-94|paper cover / stitch|paper||Prepared in cooperation with the United States Agency for International Development. The Caribbean Basin Initiative is a broad program to promote economic development through private sector initiative in the Central American and Caribbean countries. Provi|||0-16-044971-5||Caribbean Basin Initiative, Central America, Latin America, Foreign Trade, Foreign Economic Relations||Supersedes: Carribean Basin Initiative Guidebook, C 61.8/2:991, S/N 003-009-00585-0. NB1242|8.00||Commerce Dept., International Trade Administration|discount||9/23/2004|003-009-00639-2|123IE 287IC 317DL 31||Guide to the Caribbean Basin Initiative|each||0.62|1994: 84 p.; ill.|
||||||govtprintingoffice|Maisel, Martin D.|0. out of print GPO|02-16-00|perfect binding|paper||NASA SP-2000-4517. By Martin D. Maisel, et al. Describes the development of the XV-15 tilt rotor research aircraft program. Item 830-I.|||0-16-050276-4||NASA SP 2000 4517, NASA History Series, XV 15, Aircraft||DSL 2000-0155-P 02/28/2000. NB1276|23.00||National Aeronautics and Space Administration, Office of Policy and Plans, NASA History Division|discount||7/26/2005|033-000-01223-3|018GV 222HN|NAS 1.21:2000-4517|History of the XV-15 Tilt Rotor Research Aircraft: From Concept to Flight|each||1.43|2000: 216 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|07-21-99|perfect binding|paper||On cover: Bridging Into the 21st Century, NAFTA Works for America: Administration Update on the North American Free Trade Agreement, 1993-1998. On spine: Administration Update on the North American Free Trade Agreement. Summarizes the accomplishments of t|||0-16-050089-3||NAFTA, North American Free Trade Agreement, Bridging Into the 21st Century, Administration Update on the North American Free Trade Agreement, International Trade, Foreign Trade, Free Trade, Trade Regulation||NB1273|8.00||Executive Office of the President, Office of the United States Trade Representative|discount||11/21/2003|041-001-00525-1|123KO 287MT 317FT|PREX 9.2:B 76|NAFTA Works for America: Administration Update on the North American Free Trade Agreement, 1993- 1998|each||0.37|1999: 36 p.; ill.|
cstudy||||||govtprintingoffice|Hudson, Rex A.|Available at Claitors|09-22-93|casebound|cloth||DA Pam 550-42. Area Handbook Series. 4th edition. Edited by Rex A. Hudson. Prepared by the Library of Congress, Federal Research Division. Research completed September 1992. Describes and analyzes the history, politics, sociology, economics, and national|||0-8444-0774-7|1057-5294|Army Department Pamphlet 550 42, Area Handbook Series, Peru, Country Study||Supersedes D 101.22:550-42/3, S/N 008-020-00869- 9. DSL 93-0543-P 09/22/93. NB1238|40.00||Defense Dept., Army|discount|ZCS|9/22/2005|008-020-01304-8|166PB 287DR|D 101.22:550-42/993|Peru: A Country Study|each||2.00|1993: 478 p.; ill.|
||||||govtprintingoffice|Hansbury, Griffin|0. out of print GPO|09-22-00|perfect binding|paper||Griffin Hansbury, Sponsoring Editor. Published in cooperation with McGraw-Hill Companies. Presents recent financial performances of United States manufacturers. Identifies emerging trends. McGraw-Hill ISBN 0-07-135245-7. Contains copyright material. H|||0-16-050492-9||Industry, Trade||NB1280|76.00||Commerce Dept., International Trade Administration|discount||3/16/2001|003-009-00717-8|004XB 123SD||United States Industry & Trade Outlook, 2000|each||4.75|2000: 608 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|06-13-01|perfect binding|paper||Provides statistical profiles of revenues, jobs, and exports for the United States environmental industry.|||||Industrial Statistics, Environmental Protection, Pollution Control||NB1284|16.00||Commerce Dept., International Trade Administration, Office of Environmental Technologies Industries|discount||9/26/2003|003-009-00718-6|900||Environmental Industry of the United States: Overview by State and Metropolitan Statistical Area|each||0.81|2001: 121 p.|
||||||govtprintingoffice||0. out of print GPO|02-21-01|perfect binding|paper||NIMA Pub 145. 8th Edition. Corrected to 4 December 1999, including Notice to Mariners No. 49 of 1999. Covers the harbors, coasts, and waters of Nova Scotia and the Saint Lawrence. Provides information that cannot be shown graphically on nautical charts an|||0-16-061559-3||National Imagery and Mapping Agency Publication 145, NSN 7642014009026, Compact Disc Read Only Memory (CD-ROM), Electronic Products, Nova Scotia, Saint Lawrence River, Maps, Ships, Sailing||System requirements, PC: 486 Processor; 16M RAM, 24M RAM for NT; 10M free disk space; Windows 95, 98, or NT 4.0. For Macintosh: Power Macintosh; Syste|39.00||Defense Dept., National Imagery and Mapping Agency|discount||2/8/2002|008-000-00822-1|029PN 060HS|D 5.317/3:145/2000|Sailing Directions (Enroute): Nova Scotia and the Saint Lawrence, 2000|each||1.68|2000: 305 p.; ill. and CD-ROM in pocket.|
||||||govtprintingoffice|Helms, Christine M.|0. out of print GPO|08-13-90|paper cover / stitch|paper||McNair Papers No. 10. Also known as: Arabism and Islam, Competing Visions of History. Discusses Arabic and Islamic history and conflicts in the Middle East. Emphasizes that not all Arabs are Islamic, and that not all Islamic people are Arabs. Contains cop|||0-16-023729-7||McNair Papers, No. 10, Stateless Nations and Nationless States, Arabs, Islam, Competing Visions of History, Nationless States, Middle East||BIP. NB1219 GB1111|3.00||Defense Dept., National Defense University, Institute for National Strategic Studies|discount||2/28/2003|008-020-01214-9|286AC|D 5.416:10|Arabism and Islam: Stateless Nations and Nationless States|each||0.25|1990: 49 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|02-22-96|perfect binding|paper||GF/92-8. Government Finances. Provides statistical information on county government finances. Presents tables on: revenue by type; expenditure by object and function; indebtedness by term and function; and assets by purpose. Item 146-E.|||0-16-048506-1||GF 92 8, Government Finances, Finance, County Politics and Government||NB1253|15.00||Commerce Dept., Economics and Statistics Administration, Census Bureau, Governments Division|discount||1/18/2000|003-024-08795-2|900||County Government Finances: 1991-92|each||0.81|1995: 156 p.|
||tax||||govtprintingoffice||0. out of print GPO|01-24-01|specialty item|||Internal Revenue Service Tax Form 1065, Schedule K-1. Sold in packages of 100 copies only.||looseleaf|||IRS Tax Form 1065, Schedule K 1, 2000, Form 1065, Schedule K 1, 2001, Schedule K 1, 2001||FORWARD ALL MAIL ORDERS TO: SUPERINTENDENT OF DOCUMENTS, P.O. BOX 371954, PITTSBURGH, PA 15250- 7954. Supersedes T 22.51:1065/SCH.K-1/999, S/N 048-099|22.00||Treasury Dept., Internal Revenue Service|no discount||1/23/2002|048-200-00020-6|900|T 22.51:1065/SCH.K-1/2000|Partner's Share of Income, Credits, Deductions, Etc., IRS Tax Form 1065, Schedule K-1, 2000|package||1.06|2000: 2 p.|
||||||govtprintingoffice||0. out of print GPO||specialty item|||The SC 94 file library contains the opinions from the 1994/1995 term of the United States Supreme Court. All files are in WordPerfect.||multimedia|||Electronic Products, Federal Bulletin Board (BBS), Supreme Court||THE FEDERAL BULLETIN BOARD PRODUCT. Internet access: telnet or FTP to fedbbs.access.gpo.gov. Dial in access: 202-512-1387; Modem settings: 8 bits, Par|0.00||Supreme Court|||6/16/2000|021-610-00198-1|900||SC_94 Supreme Court Opinions, 1994/1995 Term (Federal Bulletin Board File)|each||2.00||
||||||govtprintingoffice|Nalty, Bernard C.|0. out of print GPO|08-29-97|casebound|cloth||Edited by Bernard C. Nalty. Describes and analyzes, in the context of national policy and international rivalries, the evolution of land-based air power since the United States Army in 1907 established an Aeronautical Division. Provides a clearer understa|||0-16-049009-X||Air Force History and Museums Program, Air Force History, Military History, History of United States Air Force, Army Air Forces, Winged Sword||NB1262|94.00||Defense Dept., Air Force, Air Force History and Museums Program|discount||09-30-03|008-070-00717-7|018WB 059LQ 131LP|D 301.82/7:H 62/V.1-2|Winged Shield, Winged Sword: A History of the United States Air Force, V. 1-2|each||6.68|1997: 2 bks. (1193 p.); ill.|
||||||govtprintingoffice||0. out of print GPO|07-25-97|perfect binding|paper||AFM 11-203, V. 1. Flying Operations. Familiarizes the aircrew member with fundamentals of weather. Serves as a text for undergraduate pilot and navigator training programs, all United States Air Force instrument refresher training and flight instruction p|||0-16-049015-4||Air Force Handbook 11 203, V. 1, Aviation Weather, Weather, Meteorology, Airmen, Flying Training, Aviation||Supersedes D 301.7:51-12/v.1/990, S/N 008-070- 00478-0. NB1261|24.00||Defense Dept., Air Force|discount||08-13-09|008-070-00718-5|018WB 234SE|D 301.6/8:11-203/V.1|Weather For Aircrews|each||1.37|1997: 181 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|06-10-98|perfect binding|paper||FSIS-HACCP-1. Provides instructions to inspection program personnel for reviewing an establishment's Hazard Analysis and Critical Control Point (HACCP) plan and otherwise enforcing the HACCP system regulations. Updates previous instructions to inspection|||0-16-060824-4||FSIS HACCP 1, Food and Safety Inspection Service, Hazard Analysis and Critical Control Point, Food Handling, Food Safety, Food Spoilage, Public Health, Food Poisoning||NB1266|5.00||Agriculture Dept., Food Safety and Inspection Service|discount||2/26/2004|001-000-04657-8|291FC|A 110.8:H 33|HACCP Regulatory Process for HACCP-Based Inspection: Reference Guide, 1998|each||0.75|1998: 135 p.; ill.|
||||||govtprintingoffice||0. superseded|08-04-98|self cover / stitch|paper|021-029-00003-3|SB-029. Subject Bibliography 029. July 21, 1998. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 3.22/2:029/997, S/N 021-029-000708- 9. Superseded by GP 3.22/2:029/999, S/N 021-029- 00912-0. DSL 98-0330-P 08/11/98.|0.00||Government Printing Office, Superintendent of Documents|||3/28/2000|021-029-00807-7|925|GP 3.22/2:029/998|Navigation|each||2.00|1998: 6 p.|
||||||govtprintingoffice||0. out of print GPO|04-18-00|self cover / stitch|paper||Also cited as: NLRA or the Act; 29 U.S.C., Sections 151-169. Contains United States Code, Title 29, Chapter 7, Subchapter 2. Includes Labor Management Relations Act (Taft-Hartley Act), also cited as: LMRA; 29 U.S.C., Sections 141-197.|||0-16-050336-1||Labor Management Relations, Taft Hartley Act||Supersedes S/N 031-000-00350-4. NB1277|3.00||National Labor Relations Board|discount||08-06-08|031-000-00369-5|064TC|LR 1.2:N 21/8|National Labor Relations Act 2000|each||0.18|2000: 40 p.|
||||||govtprintingoffice||0. out of print GPO|07-24-00|casebound|cloth||Includes the decisions and orders of the Board, a table of cases, and a cross reference index from the advance sheet numbers to the volume page numbers. Item 826.|||0-16-050395-7||National Labor Relations Board Decisions and Orders, V. 326, Labor Management Relations||NB1279|18.00||National Labor Relations Board|no discount||1/20/2004|031-000-00370-9|900|LR 1.8:326|Decisions and Orders of the National Labor Relations Board, V. 326, July 31, 1998 Through September 30, 1998|each||6.12|2000: 1491 p.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|12-07-00|casebound|cloth||Includes the decisions and orders of the Board, a table of cases, and a cross reference index from the advance sheet numbers to the volume page numbers. Item 826.|||0-16-061468-6||National Labor Relations Board Decisions and Orders, V. 327, Labor Management Relations||NB1281|20.00||National Labor Relations Board|discount|ZDDNL|12-30-03|031-000-00371-7|064LD||Decisions and Orders of the National Labor Relations Board, V. 327, October 20, 1998 Through April 6, 1999|each||5.25|2000: 1278 p.|
||tax||||govtprintingoffice|Haney, Harry L., Jr.|0. out of print GPO|03-29-01|perfect binding|paper||Agriculture Handbook No. 718. By Harry L. Haney, Jr., et al. Updates, expands, and supersedes Agriculture Handbook No. 708, Forest Owners' Guide to the Federal Income Tax.' Incorporates tax changes made since 1994. Provides a framework for analysis of tim|||0-16-042794-0||Agriculture Handbook 718, Income Tax, Forest Management, Tax Returns, Lumber Trade||NB1283|21.00||Agriculture Dept., Forest Service|discount||12/15/2004|001-000-04693-4|086EM 195FS|A 1.76:718|Forest Landowner's Guide to the Federal Income Tax|each||1.12|2001: 168 p.|
||||||govtprintingoffice|Gilbert, Sarah L.|0. out of print GPO|12-18-98|paper cover / stitch|paper||NIST Special Publication 260-137. Standard Reference Materials. By Sarah L. Gilbert, et al. Explains the theory which serves as the basis for the preparation, measurement values and uncertainties, certification, and use of Standard Reference Material 2519|||0-16-060885-6||NIST Special Publication 260 137, Standard Reference Materials||NB1269|6.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology|discount||1/9/2004|003-003-03587-4|900|C 13.10:260-137|Hydrogen Cyanide H13C14N Absorption Reference for 1530 nm to 1560 nm Wavelength Calibration, SRM 2519|each||0.31|1998: 30 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|04-18-90|perfect binding|paper||Discusses funding requirements for specific information projects for fiscal Years 1989-1993. The projects include information systems for: airports; air traffic control; aviation activity; financial resources; human resources; material resources; National|||0-16-021611-7||Systems Analysis, Transportation Planning, Information Networks, Aviation Policy, Aviation Safety, Air Traffic Control||NB1217|24.00||Transportation Dept., Federal Aviation Administration, Information Resources Planning Branch|discount||9/29/2003|050-007-00872-4|018GV 051HR|TD 4.33/6:989-93|Information Resources Management Plan: V. 2, Systems Plan, FY89-FY93|each||2.37|1989: 314 p.; ill., 20 dividers.|
||||||govtprintingoffice||0. out of print GPO|04-12-00|paper cover / stitch|paper||Spanish version of 'Listeriosis and Food Safety Tips.' Explains the dangers, prevention, and treatment of Listeriosis, an illness caused by eating foods contaminated with Listeria Monocytogenes, a kind of bacteria often found in soil and water. Available|||0-16-051403-7||Spanish Publications, Listeriosis and Food Safety Tips, Listeria Monocytogenes, Foodborne Diseases, Bacterial Diseases, Bacteria, Food Poisoning, Medicine, Food Contamination||Publication will also be available from GPO for $1.25 per single copy. NB1277|16.00||Agriculture Dept., Food Safety and Inspection Service, Food Safety Education Staff|discount||02-28-07|001-000-04678-1|008ZA 130ED 291FC||Listeriosis y Consejos en la Seguridad de los Alimentos|package||2.18|1999: 8 p.; ill.|
||||||govtprintingoffice||0. superseded|04-07-00|specialty item||001-000-04699-3|SR13. Issued February 2000. This database serves as the foundation for most food composition databases in the public and private sectors. Contains data on 6,210 food items and up to 82 food components. Supersedes the food composition data published in the|||||||Superseded by S/N 001-000-04699-3. System requirements: IBM compatible PC; 640K RAM; 2M free disk space; and CD-ROM reader with MS CD-ROM Extensions 2|18.00||Agriculture Dept., Agricultural Research Service, Beltsville Human Nutrition Research Center, Nutrient Data Laboratory|discount||6/14/2002|001-000-04679-9|291DB 314SA|A 77.40:N 95/2000|USDA Nutrient Database for Standard Reference, Release 13 (CD-ROM)|each||2.00|2000: CD-ROM.|
||||||govtprintingoffice||0. superseded|02-28-01|self cover / stitch|paper|021-196-00203-0|SB-196. Subject Bibliography 196. January 30, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item|||||||Supersedes GP 3.22/2:196/2000, S/N 021-196-00003- 7. Superseded by GP 3.22/2:196/002, S/N 021-196- 00203-0.|0.00||Government Printing Office, Superintendent of Documents|||4/2/2002|021-196-00101-7|925||Elementary and Secondary Education|each||2.00|2001: 21 p.|
||||||govtprintingoffice|Cole, Ronald H.|0. out of print GPO|11-21-96|casebound|cloth||By Ronald H. Cole, et al. Traces the evolution of the position of Chairman of the Joint Chiefs of Staff from its World War 2 origins through the first post-Cold War chairmanship. Sketches the careers of chairmen from Omar Bradley through Colin Powell and|||0-16-048726-9||Armed Forces, Joint Chiefs of Staff, Defense Department, Military History, Strategic Planning, National Defense, Biographies||DSL 97-0013-S 12/02/96. NB1257|52.00||Defense Dept., Office of the Chairman of the Joint Chiefs of Staff, Joint History Office|discount||11/21/2003|008-000-00695-4|131CN 153BO|D 5.2:C 34/2|Chairmanship of the Joint Chiefs of Staff|each||2.75|1996: 239 p.; ill.|
||||||govtprintingoffice|Hunter, Kenneth E.|0. out of print GPO|08-13-08|casebound|cloth||CMH Pub. 12-3. Compiled by Kenneth E. Hunter, et al. This book deals with the European Theater of Operations, covering the period from build up in Britain through V-E Day. Item 345.|||0-16-001895-1||Army in World War 2, World War 2, Pictorial Record, War Against Germany: Europe and Adjacent Areas, Military History, Army History, Photographs||BIP. May 1982 SL 115T2 QC011Y2 QC012V3 QC013R3 QC014N3 QC021Y4 QC022V4 QC023R4 QC024N4 QC031Y5 QC032V5 QC033R5 QC034N5 QC041Y6 QC042V6 QC043R6 QC044N6|24.00||Defense Dept., Army, Office of the Chief of Military History|discount||03-05-09|008-029-00042-3|070KH|D 114.7:P 58/v.2|United States Army in World War II, Pictorial Record, War Against Germany: Europe and Adjacent Areas (Clothbound)|each||2.68|1951: 460 p.; ill. 1985-repr.|
||||||govtprintingoffice|Webb, William J.|1. in stock / whse and/or retail / price|04-23-08|paper cover / stitch|paper||CMH Pub 19-6. This brochure, one of a series commemorating the 50th anniversary of the Korean war, covers the North Korean invasion South Korea on June 2, 1950, the initially hesitant United States response, and the combined efforts of the U.S. and South|||||Center of Military History Publication 19 6, Korean War, Military History, Army History|||2.00||Defense Dept., Army, Center of Military History|discount|ZZZZZ|06-29-10|008-029-00360-1|||The Korean War: The Outbreak, 27 June - 15 September 1950 (Paperback)|each||0.12|2000: 28 p.|
||||||govtprintingoffice||0. superseded|11-10-99|self cover / stitch|paper|021-600-00063-6||||||||This is a combined issue. Periodical will continue as a quarterly with the Spring 2000 issue. Supersedes S/N 021-600-00061-0. Superseded by S/N 021-60|0.00||Government Printing Office, Superintendent of Documents, Sales Management Division, Bibliographic Systems Branch|||3/7/2000|021-600-00062-8|925|GP 3.9:254|United States Government Subscriptions Catalog, Fall 1999 - Winter 2000,E dition 284|each||2.00|1999: 80 p.|
||||||govtprintingoffice||0. out of print GPO|08-18-94|specialty item|||Optional Form 156 (Rev. 6-93). Includes form and instructions. Sold in packages of 100 copies only.||sheet(s)|0-16-061606-9||Optional Form 156, Application for Non Immigrant Visa, Visas||Supersedes S 1.143:156, S/N 022-000-00211-2. NB1244|29.00||State Dept.|discount||10/27/2003|022-000-00215-5|900|S 1.143:156|Nonimmigrant Visa Application, Form 156, Revised June 1993|package||1.31|1993: Form. revised ed.|
||||||govtprintingoffice||0. superseded|05-18-98|specialty item||017-012-00405-9|FDA Form 3316A. Issued with perforations. For use by the pharmaceutical industry. Sold in packages of 25 copies only.||folder|0-16-061427-9||FDA Form 3316A, Form 3316A, Pharmaceutical Research, Drugs, Medicine||NB1266|33.50||Health and Human Services Dept., Food and Drug Administration|discount||11-03-10|017-012-00395-8|090HA 119DB||Drug Master File (Blue Polyethylene Folder)|package||4.68|1995: Polyethylene binder cover.|
||||||govtprintingoffice||0. out of print GPO|03-28-96|perfect binding|paper||2d printing. Describes how community leaders can bring their communities onto the Information Superhighway. Item 126-E-04.|||0-16-060848-1||Kick Start Initiative, Computer Networks, Internet||DSL 96-0194-P 04/16/96. NB1253|16.00||Commerce Dept., National Telecommunications and Information Administration, and United States Advisory Council on the National Information Infrastructure|discount||10/21/2002|003-000-00682-4|900||KickStart Initiative: Connecting America's Communities to the Information Superhighway|each||0.93|1996: 176 p.|
cstudy||||||govtprintingoffice|Ross, Russell R.|Available at Claitors|05-15-90|casebound|cloth||DA Pam 550-50. Area Handbook Series. 3d edition. Russell R. Ross, editor. Prepared by the Library of Congress, Federal Research Division. Research completed Dec. 1987. Describes and analyzes the political, economic, social, and national security systems o|||0-16-020838-6||Army Department Pamphlet 550 50, Area Handbook Series, Cambodia, Country Study||Supersedes: Area Handbook for the Khmer Republic (Cambodia), D 101.22:550-50/3, S/N 008-020-00445- 6. BIP. NB1218|38.00||Defense Dept., Army|discount|ZCS|9/20/2004|008-020-01203-3|166LC 288EL|D 101.22:550-50/990|Cambodia: A Country Study|each||1.81|1990: 398 p.; ill., map, folded.|
||||||govtprintingoffice||0. superseded|03-31-99|perfect binding|paper|050-012-00412-9|COMDTPUB P16502.2. Contains a list of lights, sound signals, buoys, daybeacons, and other aids to navigation. Includes corrections through Fifth Coast Guard District Local Notice to Mariners No. 04/99, January 26, 1999 and National Imagery and Mapping Not|||0-16-056886-2||||Supersedes TD 5.9:V.2/998, S/N 050-012-00391- 2. Superseded by S/N 050-012-00412-9. NB1272|34.00||Transportation Dept., Coast Guard|discount||6/16/2000|050-012-00399-8|029ME 263GL|TD 5.9:V.2/999|Light List, 1999, V. 2, Atlantic Coast, Shrewsbury River, New Jersey to Little River, South Carolina|each||1.93|1999: 374 p. and 4 plates; ill.|
||||||govtprintingoffice|Coleman, Thomas|0. out of print GPO|11-13-00|perfect binding|paper||NIST Handbook 130, 2001. Editors: Thomas Coleman and Terry L. Grimes. Contains laws and regulations on: Weights and Measures; Weighmaster; Motor Fuel Inspection; Packaging and Labeling; Method of Sales of Commodities; Unit Pricing; Registration of Service|||0-16-050577-1||NIST Handbook 130, Weights and Measures, Fuel, Gas||NB1281|30.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology|discount||10/15/2001|003-003-03662-5|109HE 290LR||Uniform Laws and Regulations in the Areas of Legal Metrology and Engine Fuel Quality: As Adopted by the 85th National Conference on Weights and Measures, 2000|each||1.25|2000: 238 p.; ill.|
